City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,badger,64.8,-147.5333,-11.07,89,20,0.0,US,1698325953
186,pyapon,16.2833,95.6833,26.96,79,25,1.75,MM,1698325954
187,yamba,-5.9,22.3,32.85,44,85,2.56,CD,1698325954
188,cidreira,-30.1811,-50.2056,18.34,62,36,3.79,BR,1698325935
189,jiwani,25.05,61.7417,27.75,72,100,4.88,PK,1698325955
190,port erin,54.0849,-4.751,12.93,88,75,6.69,IM,1698325955
191,susuman,62.7833,148.1667,-23.54,99,53,0.58,RU,1698325955
192,ouesso,1.6136,16.0517,27.59,69,75,1.97,CG,1698325955
193,zhosaly,45.4878,64.0781,8.99,41,100,5.64,KZ,1698325832
194,senillosa,-39.0,-68.4167,20.9,27,0,7.29,AR,1698325955
195,al fuwayliq,26.4432,43.2534,29.73,23,0,3.4,SA,1698325955
196,santa elena de uairen,4.6167,-61.1333,25.73,63,100,1.78,VE,1698325955
197,kolonia,50.9333,6.95,13.79,77,20,1.54,DE,1698325742
198,ojinaga,29.5667,-104.4167,14.76,62,0,2.06,MX,1698325956
199,yeppoon,-23.1333,150.7333,18.88,85,5,2.24,AU,1698325956
200,el jadid,33.2549,-8.506,21.96,72,100,2.47,MA,1698325957
201,puqi,29.7167,113.8833,22.39,57,100,0.78,CN,1698325957
202,uturoa,-16.7333,-151.4333,25.91,81,100,4.77,PF,1698325957
203,mount isa,-20.7333,139.5,23.87,10,0,7.2,AU,1698325957
204,ploneour-lanvern,47.9,-4.2833,16.16,88,75,3.6,FR,1698325957
205,kievka,50.2619,71.5514,0.68,54,100,6.62,KZ,1698325958
206,arkalyk,50.2486,66.9114,-0.2,43,5,4.33,KZ,1698325958
207,emiliano zapata,18.8333,-99.1833,20.37,92,79,0.55,MX,1698325660
208,orshanka,56.9161,47.8933,-2.86,91,9,1.23,RU,1698325958
209,faya-largeau,17.9257,19.1043,38.94,10,0,4.12,TD,1698325958
210,arteche,12.2645,125.4048,25.97,81,25,1.08,PH,1698325958
211,guangyuan,32.442,105.823,18.07,83,100,1.68,CN,1698325959
212,posse,-14.0931,-46.3694,25.46,64,100,1.42,BR,1698325921
213,kapuskasing,49.4169,-82.4331,1.05,93,100,3.09,CA,1698325959
214,hami,42.8,93.45,16.44,25,0,3.35,CN,1698325750
215,san antonio de pale,-1.4014,5.6325,24.43,90,100,3.82,GQ,1698325959
216,mandera,3.9366,41.867,33.53,39,100,4.82,KE,1698325959
217,kourou,5.1552,-52.6478,31.03,57,97,4.74,GF,1698325960
218,benguela,-12.5763,13.4055,24.56,80,100,3.27,AO,1698325960
219,haiku-pauwela,20.9219,-156.3051,22.8,77,37,2.05,US,1698325960
220,buriti alegre,-18.14,-49.0403,30.68,40,86,2.23,BR,1698325960
221,vorgashor,67.5833,63.95,-12.21,97,100,1.17,RU,1698325960
222,radhanpur,23.8333,71.6,31.02,33,29,2.78,IN,1698325960
223,holmsund,63.706,20.3641,2.97,69,75,2.68,SE,1698325961
224,kruisfontein,-34.0033,24.7314,24.75,47,93,4.93,ZA,1698325961
225,khandyga,62.6667,135.6,-7.81,97,100,0.58,RU,1698325961
226,ortona,42.3496,14.4039,26.59,53,100,5.2,IT,1698325743
227,tolanaro,-25.0319,46.9987,23.54,63,42,5.04,MG,1698325961
228,saipan,15.1355,145.701,27.39,89,40,2.06,MP,1698325962
229,trzacka rastela,44.9733,15.7903,18.32,70,100,5.31,BA,1698325962
230,shakawe,-18.3667,21.85,39.7,12,98,2.2,BW,1698325962
231,silvi,42.5456,14.122,27.04,46,97,8.75,IT,1698325749
232,porto novo,6.4965,2.6036,30.9,60,98,4.8,BJ,1698325962
233,kupang,-10.1667,123.5833,28.32,78,20,3.09,ID,1698325962
234,atafu village,-8.5421,-172.5159,28.13,77,100,5.4,TK,1698325963
235,nova sintra,14.8667,-24.7167,24.55,78,100,9.48,CV,1698325963
236,north bondi,-33.8824,151.2769,15.94,62,75,11.32,AU,1698325963
237,al kharijah,25.4514,30.5464,37.11,15,0,1.82,EG,1698325963
238,pavlovka,52.6897,47.1405,-0.46,59,100,4.15,RU,1698325964
239,lupane,-18.9315,27.807,39.02,11,13,3.03,ZW,1698325964
240,champerico,14.3,-91.9167,24.3,86,100,3.05,GT,1698325964
241,pacific grove,36.6177,-121.9166,12.06,91,0,0.89,US,1698325675
242,tarakan,3.3,117.6333,28.52,69,12,2.11,ID,1698325964
243,mont-laurier,46.5501,-75.4993,13.79,94,100,0.81,CA,1698325964
244,rio branco,-9.9747,-67.81,31.34,62,0,4.12,BR,1698325965
245,port alfred,-33.5906,26.891,23.43,76,100,3.13,ZA,1698325955
246,olonkinbyen,70.9221,-8.7187,-0.2,78,65,1.72,SJ,1698325965
247,constantia,44.1833,28.65,24.38,56,100,5.93,RO,1698325966
248,fada,9.5667,8.3,31.97,26,93,1.16,NG,1698325966
249,kattivakkam,13.2167,80.3167,30.04,73,43,5.55,IN,1698325752
250,mokhsogollokh,61.4681,128.9203,-13.76,98,67,1.09,RU,1698325966
251,jinshi,29.6049,111.8701,20.96,75,99,3.11,CN,1698325966
252,lazaro cardenas,17.9583,-102.2,24.2,87,25,2.27,MX,1698325966
253,port douglas,-16.4833,145.4667,22.92,82,45,0.86,AU,1698325967
254,darnah,32.767,22.6367,28.87,41,7,2.57,LY,1698325967
255,ungheni,47.2042,27.7958,19.6,64,0,3.09,MD,1698325787
256,kargasok,59.0556,80.8572,-0.58,92,100,7.15,RU,1698325967
257,jiaojiang,28.6803,121.4428,19.7,93,100,0.96,CN,1698325847
258,vilyuchinsk,52.9306,158.4028,4.96,79,3,4.44,RU,1698325967
259,acapulco de juarez,16.8634,-99.8901,24.58,78,100,1.89,MX,1698325967
260,selfoss,63.9331,-20.9971,8.91,73,30,3.91,IS,1698325968
261,loma de cabrera,19.4333,-71.6,24.43,75,0,1.83,DO,1698325968
262,talcher,20.95,85.2167,24.28,59,5,2.12,IN,1698325968
263,velizh,55.6056,31.1967,-1.13,92,100,5.67,RU,1698325969
264,necochea,-38.5473,-58.7368,20.13,48,0,7.4,AR,1698325865
265,port mathurin,-19.6833,63.4167,24.73,81,57,6.92,MU,1698325969
266,kapa'a,22.0752,-159.319,22.99,83,0,3.6,US,1698325969
267,plymouth,41.8334,-70.8328,18.94,83,20,1.54,US,1698325969
268,buala,-8.145,159.5921,26.75,84,82,1.85,SB,1698325970
269,oyama,36.3,139.8,21.44,58,93,1.5,JP,1698325692
270,iskateley,67.6803,53.1512,-8.32,97,91,1.34,RU,1698325970
271,izazi,-7.2,35.7333,36.3,21,43,6.73,TZ,1698325828
272,port elizabeth,-33.918,25.5701,26.29,60,0,4.12,ZA,1698325970
273,leh,34.1667,77.5833,5.01,26,2,2.36,IN,1698325971
274,saint-joseph,-21.3667,55.6167,27.21,78,26,2.04,RE,1698325971
275,tromso,69.6496,18.957,3.01,87,75,6.17,NO,1698325971
276,san juan,-31.5375,-68.5364,21.1,51,0,0.95,AR,1698325971
277,broome,42.2506,-75.833,17.04,72,31,1.34,US,1698325971
278,liuli,-11.0833,34.6333,30.95,54,100,3.08,TZ,1698325972
279,long beach,33.767,-118.1892,18.26,89,100,0.0,US,1698325740
280,tralee,52.2704,-9.7026,14.14,88,75,2.57,IE,1698325947
281,guaramirim,-26.4731,-49.0028,21.07,98,100,0.69,BR,1698325972
282,puerto baquerizo moreno,-0.9,-89.6,23.26,81,87,5.89,EC,1698325973
283,imbituba,-28.24,-48.6703,20.5,71,97,4.18,BR,1698325915
284,berezovo,63.9381,65.0419,-7.76,89,74,4.63,RU,1698325973
285,merritt,50.1123,-120.7942,-7.6,85,100,1.23,CA,1698325973
286,washington,47.5001,-120.5015,2.58,84,80,1.29,US,1698325864
287,kenitra,34.261,-6.5802,23.42,69,100,4.76,MA,1698325693
288,ghanzi,-21.5667,21.7833,39.47,6,0,5.44,BW,1698325974
289,yangjiang,21.85,111.9667,23.72,88,19,2.06,CN,1698325974
290,hasaki,35.7333,140.8333,13.22,57,7,2.58,JP,1698325724
291,nampula,-15.1165,39.2666,35.97,26,40,2.57,MZ,1698325975
292,mitsamiouli,-11.3847,43.2844,27.64,77,0,2.42,KM,1698325975
293,punta arenas,-53.15,-70.9167,3.95,80,97,6.26,CL,1698325976
294,banda aceh,5.5577,95.3222,27.07,80,88,4.88,ID,1698325507
295,klaksvik,62.2266,-6.589,10.51,90,36,11.05,FO,1698325976
296,newman,37.3138,-121.0208,12.13,88,0,0.45,US,1698325976
297,al jammaliyah,31.1809,31.8652,29.59,53,100,3.92,EG,1698325866
298,gaalkacyo,6.7697,47.4308,31.4,48,98,5.41,SO,1698325976
299,aldinga beach,-35.2793,138.4604,11.91,79,94,5.19,AU,1698325977
300,dudinka,69.4058,86.1778,-12.96,99,91,1.34,RU,1698325794
301,hugo,45.16,-92.9933,14.03,97,100,2.57,US,1698325977
302,valparaiso,-33.0393,-71.6273,16.67,63,100,1.03,CL,1698325977
303,capao bonito,-24.0058,-48.3494,17.72,98,100,0.72,BR,1698325881
304,vorkuta,67.5,64.0,-12.57,96,100,1.62,RU,1698325681
305,alaghsas,17.0187,8.0168,37.94,8,0,6.69,NE,1698325977
306,lautoka,-17.6167,177.4667,22.92,83,40,2.06,FJ,1698325900
307,pathein,16.7833,94.7333,25.2,90,100,2.71,MM,1698325977
308,san patricio,28.017,-97.5169,27.13,86,82,5.11,US,1698325978
309,calama,-22.4667,-68.9333,19.38,23,5,0.86,CL,1698325911
310,kushiro,42.975,144.3747,9.45,91,9,2.04,JP,1698325408
311,ketchikan,55.3422,-131.6461,7.99,48,0,3.6,US,1698325978
312,masterton,-40.9597,175.6575,11.6,82,100,7.97,NZ,1698325831
313,nishinoomote,30.7333,131.0,22.23,51,0,3.73,JP,1698325978
314,sanga-sanga,5.0725,119.7853,28.76,67,95,1.86,PH,1698325978
315,jiuquan,39.7432,98.5174,12.46,18,0,2.71,CN,1698325979
316,abaza,52.655,90.0928,8.51,62,64,2.02,RU,1698325979
317,ylitornio,66.3089,23.6773,-0.35,98,100,2.03,FI,1698325979
318,gaoyou,32.7858,119.4278,19.79,66,100,4.75,CN,1698325853
319,watari,38.035,140.8511,14.32,78,1,1.74,JP,1698325979
320,blagoveshchensk,50.2667,127.5333,0.83,43,0,2.74,RU,1698325979
321,pingliang,35.5392,106.6861,12.57,56,90,1.5,CN,1698325733
322,vylkove,45.4021,29.586,22.96,52,100,6.2,UA,1698325980
323,baruun-urt,46.6806,113.2792,5.05,29,15,2.45,MN,1698325980
324,chibougamau,49.9168,-74.3659,1.79,93,100,3.09,CA,1698325980
325,port saint john's,-31.6229,29.5448,26.09,67,94,8.08,ZA,1698325980
326,kailua-kona,19.6406,-155.9956,24.77,77,0,3.58,US,1698325764
327,acarau,-2.8856,-40.12,30.41,54,54,6.73,BR,1698325981
328,freetown,8.484,-13.2299,28.38,77,99,3.05,SL,1698325981
329,katsuren-haebaru,26.3369,127.8719,24.01,73,20,2.06,JP,1698325981
330,karratha,-20.7377,116.8463,30.9,33,9,5.23,AU,1698325922
331,charters towers,-20.1,146.2667,23.38,62,6,2.07,AU,1698325982
332,howard springs,-12.497,131.047,29.95,74,65,3.36,AU,1698325982
333,upington,-28.4478,21.2561,41.21,4,20,3.6,ZA,1698325982
334,sandnessjoen,66.0217,12.6316,5.23,65,20,2.57,NO,1698325983
